"player","age","nationality","position","team","top5","minutes_90s","Spinta","Costruttore","Interventista","Lanci_Lunghi","Falloso"
"Samuel Lino",23,"br BRA","DF,MF","Atlético Madrid","True",23.1,2.44568412636792,-0.188104464248829,1.48267636706002,-1.59273100473216,-1.16899815693708
"David López",33,"es ESP","DF","Girona","True",21.8,-1.11271153856082,-0.824891702578224,-0.705149863228882,-0.760386928680086,0.10091160944291
"Javi López",21,"es ESP","DF","Alavés","True",26.5,1.02641117273144,-0.387052073076948,-1.14225621097544,0.515211959679629,-0.887903295942118
"Lucas",22,"br BRA","DF","Cádiz","True",17.1,0.720136333391321,0.0609686088788287,2.02992645993146,0.260729536758158,-0.913269117255137
"José Luis Gayà",28,"es ESP","DF","Valencia","True",19.9,0.866185055698162,0.241371871614936,2.28326059748819,0.515909225150727,-0.306802614572039
"Pablo Maffeo",26,"es ESP","DF","Mallorca","True",16.2,0.996245994095599,-1.15448244830576,0.945167193912096,0.6925391420439,0.0594576015457945
"Óscar de Marcos",34,"es ESP","DF","Athletic Club","True",25.1,0.930297318825004,1.07155847814413,1.42056166395882,0.422116902637359,-0.859232932673593
"José María Giménez",28,"uy URU","DF","Atlético Madrid","True",14.7,-1.11890902201873,-0.883402784368807,-0.656612933235352,-0.102200190014673,0.771137046359122
"Rafa Marín",21,"es ESP","DF","Alavés","True",27.1,-0.787995327305901,-0.750731365117829,-0.802369704179837,0.554307003822643,0.434568134892629
"Mika Màrmol",21,"es ESP","DF","Las Palmas","True",35.3,-0.744531373800045,0.018437364764853,-0.0734341593765924,-0.563953915037859,-0.247904867380603
"Arnau Martinez",20,"es ESP","DF","Girona","True",13.8,0.18096356424501,0.359286546911756,0.835305979822432,-0.85556781929156,0.0137754102378001
"Iñigo Martínez",32,"es ESP","DF","Barcelona","True",14.4,-0.762496822350103,1.90014823852055,-1.43722436085026,1.82686000589015,-0.229926016182088
"Ferland Mendy",28,"fr FRA","DF","Real Madrid","True",19.1,0.513641230653826,0.514468194237105,-1.41794718336732,-2.00631311869462,-0.599532524661756
"Óscar Mingueza",24,"es ESP","DF,MF","Celta Vigo","True",33.3,0.933542984662856,1.52811625313473,0.832792681930257,1.16090315350766,-1.33382842351069
"Ignasi Miquel",30,"es ESP","DF","Granada","True",33.2,-0.758470856296894,-0.872941354008552,-0.518270145324437,0.144654655625596,0.300338737240522
"Juan Miranda",23,"es ESP","DF","Betis","True",20.6,0.682547497882216,0.837156447171304,-0.309571380059432,0.287248390756037,-0.146729918280624
"Johan Mojica",30,"co COL","DF","Osasuna","True",22.7,1.50605417992597,-0.02096617166661,-0.975131060053953,0.451674045280541,-1.15612538056945
"Nahuel Molina",25,"ar ARG","DF","Atlético Madrid","True",20.6,1.71929875278636,0.354715190072579,1.00513129797228,0.12945646105895,-1.14479013049085
"César Montes",26,"mx MEX","DF","Almería","True",19.9,-0.873051581549667,-0.491711641930005,-0.938837055288452,1.11315533681671,0.584154919313995
"Alberto Moreno",31,"es ESP","DF","Villarreal","True",16.5,0.760276419991823,-0.140346159200752,0.100594633156103,0.0580542738038796,0.414185236606024
"Cristhian Mosquera",19,"co COL","DF","Valencia","True",34.2,-0.864139635218312,-1.1678491867347,-0.569830578221041,-1.00415907392395,-0.212224348533685
